query,clip_dir,score,is_positive,motion,road_context,weather,time_of_day
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_1/02,0.2698644697666168,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/04,0.047655098140239716,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/01,0.17539812624454498,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/02,0.16985321044921875,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/04,0.28620511293411255,False,moving straight,intersection,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,0.3985280692577362,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_7/02,0.1946212649345398,False,moving straight,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/04,0.39759770035743713,False,stop,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_5/03,0.41414281725883484,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/03,0.27898359298706055,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_6/03,0.3347502648830414,False,curved lane driving,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_4/02,0.17458058893680573,False,moving straight,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_13/01,0.09309270977973938,False,stop,intersection,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_21/01,0.3234640061855316,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_1/03,0.20911455154418945,False,moving straight,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_21/02,0.21061013638973236,False,moving straight,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/03,0.579807460308075,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_15/01,0.2146415412425995,False,stop,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_4/01,0.30441170930862427,False,stop,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_6/01,0.32733407616615295,False,curved lane driving,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/01,0.10439562052488327,False,stop,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_11/02,0.19020040333271027,False,moving straight,city street,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/04,0.5315163135528564,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_31/03,0.12501965463161469,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_8/03,0.27715253829956055,False,moving straight,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_24/04,0.3219003677368164,False,stop,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/02,0.2645270526409149,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,0.09378248453140259,False,curved lane driving,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,0.19416067004203796,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/03,0.1788741797208786,False,moving straight,tunnel,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/02,0.17358925938606262,False,turning left,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/03,0.2409602552652359,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/01,0.11986980587244034,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/01,0.29201197624206543,False,moving straight,tunnel,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/02,0.10295262187719345,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/04,0.11548351496458054,False,curved lane driving,intersection,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/02,0.1785980761051178,False,moving straight,tunnel,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/01,0.13298015296459198,False,curved lane driving,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/02,0.14719140529632568,False,moving straight,intersection,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/02,0.25221431255340576,False,turning left,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/04,0.20151694118976593,False,moving straight,tunnel,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,0.20117193460464478,False,turning right,city street,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/01,0.1546318531036377,False,moving straight,bridge,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/03,0.11341038346290588,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/03,0.15555691719055176,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/03,0.1416151076555252,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/03,0.12384036928415298,False,curved lane driving,intersection,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/03,0.18029147386550903,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/01,0.1507401168346405,True,stop,city street,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/04,0.2948438823223114,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/04,0.1972661316394806,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_7/02,0.21803300082683563,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/02,0.1702677458524704,False,moving straight,bridge,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/04,0.20358431339263916,False,moving straight,bridge,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02,0.15529386699199677,False,moving straight,city street,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/01,0.19980627298355103,True,stop,intersection,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_3/01,0.27499476075172424,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/04,0.20361053943634033,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/02,0.1881583034992218,False,moving straight,tunnel,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,0.21625235676765442,False,turning left,roundabout,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/03,0.1456964612007141,False,moving straight,bridge,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04,0.11051230132579803,False,moving straight,intersection,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/03,0.09340458363294601,False,moving straight,intersection,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_2/01,0.15852868556976318,False,turning left,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/02,0.1584501564502716,False,curved lane driving,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/01,0.19988960027694702,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/01,0.08943252265453339,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/01,0.2060832977294922,True,stop,tunnel,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/02,0.19140441715717316,False,turning right,city street,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/03,0.08907203376293182,False,curved lane driving,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/04,0.11990364640951157,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/04,0.10743871331214905,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,0.20762327313423157,False,moving straight,tunnel,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,0.201236292719841,False,turning right,bridge,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,0.19164219498634338,False,moving straight,bridge,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/03,0.2043108344078064,False,turning left,city street,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/02,0.10570729523897171,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/02,0.19481879472732544,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01,0.1437959372997284,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/02,0.12698805332183838,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,0.09916893392801285,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_18/03,0.22990110516548157,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/04,0.14676716923713684,False,moving straight,city street,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/01,0.14208003878593445,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,0.28897538781166077,False,turning right,city street,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/02,0.262250155210495,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/04,0.1596274971961975,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/03,0.12836399674415588,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/02,0.1464695781469345,True,stop,intersection,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/02,0.18321673572063446,False,turning left,roundabout,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/04,0.1534724086523056,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/03,0.20656003057956696,False,turning left,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_4/02,0.24114735424518585,False,turning left,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/03,0.1668579876422882,False,moving straight,bridge,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/03,0.1651473343372345,False,moving straight,city street,snowy,daytime
The vehicle is stopped.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/04,0.1594220995903015,False,moving straight,tunnel,cloudy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/02,0.24012893438339233,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/02,0.183406800031662,False,moving straight,bridge,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/01,0.1399172991514206,True,stop,intersection,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/04,0.13186727464199066,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_1/02,0.1806284338235855,False,turning right,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/04,0.07649397850036621,False,curved lane driving,city street,rainy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/01,0.19714704155921936,False,moving straight,city street,cloudy,nighttime
The vehicle is stopped.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/02,0.1504872441291809,False,moving straight,tunnel,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/04,0.21598263084888458,False,moving straight,intersection,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,0.33383870124816895,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_7/02,0.13982833921909332,False,moving straight,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/04,0.35901397466659546,True,stop,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_5/03,0.2700871229171753,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/03,0.21061675250530243,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_6/03,0.31488069891929626,False,curved lane driving,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_4/02,0.15772704780101776,False,moving straight,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_13/01,0.08535072207450867,True,stop,intersection,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_21/01,0.2967606782913208,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_1/03,0.13824574649333954,False,moving straight,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_21/02,0.16730111837387085,False,moving straight,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/03,0.42100539803504944,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_15/01,0.30699390172958374,True,stop,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_4/01,0.1552000641822815,True,stop,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_6/01,0.24690240621566772,False,curved lane driving,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/01,0.11241617053747177,True,stop,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_11/02,0.16879355907440186,False,moving straight,city street,rainy,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/04,0.21092744171619415,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_31/03,0.15207810699939728,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_8/03,0.2496359795331955,False,moving straight,city street,sunny,daytime
The vehicle is stopped.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_24/04,0.33030661940574646,True,stop,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/02,0.023396333679556847,False,turning right,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,0.07079562544822693,False,curved lane driving,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,0.9819356203079224,True,moving straight,tunnel,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/03,0.9801771640777588,True,moving straight,tunnel,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/02,0.012262782081961632,False,turning left,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/03,0.013134454376995564,False,turning right,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/01,0.9274312257766724,True,moving straight,tunnel,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/01,0.009599595330655575,True,moving straight,tunnel,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/02,0.02228066511452198,False,moving straight,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/04,0.013774686492979527,False,curved lane driving,intersection,rainy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/02,0.008145038038492203,True,moving straight,tunnel,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/01,0.14035481214523315,False,curved lane driving,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/02,0.003905466990545392,False,moving straight,intersection,snowy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/02,0.002796132816001773,False,turning left,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/04,0.02200171910226345,True,moving straight,tunnel,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,0.008625984191894531,False,turning right,city street,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/01,0.11348651349544525,False,moving straight,bridge,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/03,0.01831256039440632,False,moving straight,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/03,0.9828862547874451,True,moving straight,tunnel,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/03,0.9533208012580872,True,moving straight,tunnel,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/03,0.010042371228337288,False,curved lane driving,intersection,rainy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/03,0.19483669102191925,False,curved lane driving,city street,rainy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/01,0.0011677880538627505,False,stop,city street,snowy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/04,0.05428443104028702,False,moving straight,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/04,0.0036400260869413614,False,turning right,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_7/02,0.004662145860493183,False,turning right,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/02,0.0030667665414512157,False,moving straight,bridge,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/04,0.03234916925430298,False,moving straight,bridge,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02,0.029656991362571716,False,moving straight,city street,snowy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/01,0.004474824760109186,False,stop,intersection,snowy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_3/01,0.00800835620611906,False,turning right,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/04,0.019179843366146088,False,turning right,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/02,0.987357497215271,True,moving straight,tunnel,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,0.5627844333648682,False,turning left,roundabout,rainy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/03,0.04448438063263893,False,moving straight,bridge,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04,0.0031126360408961773,False,moving straight,intersection,snowy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/03,0.006424276158213615,False,moving straight,intersection,snowy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_2/01,0.40964487195014954,False,turning left,city street,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/02,0.010023544542491436,False,curved lane driving,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/01,0.09161204099655151,False,moving straight,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/01,0.07589756697416306,False,curved lane driving,city street,rainy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/01,0.7506607174873352,True,stop,tunnel,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/02,0.0065354774706065655,False,turning right,city street,cloudy,daytime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/03,0.03087790496647358,False,curved lane driving,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/04,0.006360191386193037,False,moving straight,city street,cloudy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/04,0.18831463158130646,False,curved lane driving,city street,rainy,nighttime
The car drives through a tunnel.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,0.9975612163543701,True,moving straight,tunnel,sunny,daytime
The car drives through a tunnel.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,0.004721472039818764,False,turning right,bridge,cloudy,daytime
